Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
Sonoma,14529,64661,TRUE,38.49537515,-122.7452903,576,939,135,289,363,441,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,317156,549317,TRUE,38.4955413,-122.7450737,310,628,52,289,318,258,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,153864,398991,FALSE,38.49571308,-122.7448564,280,598,39,292,318,241,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,53354,168922,TRUE,38.49541193,-122.7446264,717,1056,320,292,339,397,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,106090,265346,TRUE,38.49515697,-122.7444052,272,589,36,289,317,236,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,15846,127473,TRUE,38.49494553,-122.7441739,480,815,49,288,335,431,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,315235,558826,TRUE,38.49482076,-122.7439161,372,485,-1,287,113,-1,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,16158,109330,TRUE,38.49493142,-122.7433278,344,616,43,288,272,301,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,210412,458216,TRUE,38.49503745,-122.7430828,268,463,36,290,195,232,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Custom,278715
Sonoma,306000,624240,FALSE,38.49518611,-122.7428535,740,1098,264,290,358,476,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,212354,85607,TRUE,38.49546221,-122.7427341,461,674,145,296,213,316,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,249154,572426,FALSE,38.49508801,-122.7450353,331,493,6,287,162,325,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,194777,142800,FALSE,38.49787771,-122.7456027,134,1102,61,300,968,73,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,261926,418107,TRUE,38.49771847,-122.7459562,949,1266,208,299,317,741,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,255000,642600,FALSE,38.49756912,-122.7462749,396,1042,41,300,646,355,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,177485,559108,TRUE,38.49718791,-122.7471263,414,651,25,300,237,389,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,63718,221493,TRUE,38.49696013,-122.7473433,506,885,118,300,379,388,1,1.158201985,1960,Post1940,RES1,2,FALSE,1700,Custom,278715
Sonoma,142650,292817,TRUE,38.49658663,-122.7470891,-1,-1,59,302,244,-1,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,257553,328146,TRUE,38.49655266,-122.7467469,-1,-1,205,302,273,-1,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,73579,202372,TRUE,38.49697963,-122.7462719,359,597,99,300,238,260,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,334941,460674,TRUE,38.49714812,-122.7460205,-1,-1,57,300,175,-1,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,349362,524558,FALSE,38.49733919,-122.7457244,412,678,83,300,266,329,1,1.158201985,1960,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,20387,96365,TRUE,38.49755678,-122.7453524,592,867,55,302,275,537,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
