,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,Image2008,Image2009,Image2010,Image2011,Image2012,Image2013,Image2014,Image2015,Image2016,Image2017,Image2018,Image2019,Image2020,Image2021,Image2022,Image2023,Image2024
4024,Paradise,105201,86000,False,39.751771,-121.59666,0,-1,0,122,846,-1,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4025,Paradise,44013,180381,True,39.751036,-121.59298,0,973,0,143,847,126,1,0.600070053,1960,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4026,Paradise,60000,73760,True,39.756457,-121.628992,0,-1,0,81,848,-1,1,0.600070053,1940,Post1940,RES1,2,False,1500,Average,184125.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4027,Paradise,75000,185000,False,39.776427,-121.629758,0,1174,0,58,848,326,1,0.600070053,1950,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4028,Paradise,15300,165000,False,39.780109,-121.595044,0,1183,0,111,852,331,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4029,Paradise,97305,182455,False,39.742553,-121.576642,0,1078,0,95,853,225,1,0.600070053,1950,Post1940,RES1,2,True,1125,Economic,121320.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4030,Paradise,34680,15000,False,39.744155,-121.588596,0,1356,0,123,855,501,1,0.600070053,1960,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4031,Paradise,89596,118500,True,39.729904,-121.62011,0,1204,0,12,859,345,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4032,Paradise,150000,165000,False,39.736833,-121.646716,0,1100,0,85,859,241,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4033,Paradise,51000,106000,False,39.740591,-121.649522,0,1268,0,74,860,408,1,0.600070053,1960,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
